rule,support
AU_LOP B1_SD,0.0011261261261261261
Announce报文丢失 PTP端口劣化告警,0.0037537537537537537
Announce报文丢失 时间失锁,0.0043972543972543975
BBU光模块收发异常告警 BBU CPRI接口异常告警,0.001018876018876019
[衍生告警]BBU光模块收发异常告警 BBU CPRI接口异常告警,0.001018876018876019
BBU IR光模块收发异常告警 [衍生告警]BBU IR光模块收发异常告警,0.0012333762333762333
[衍生告警]BBU光模块收发异常告警 BBU光模块收发异常告警,0.0044508794508794506
BBU光模块收发异常告警 射频单元维护链路异常告警,0.0027885027885027887
BIP_EXC LP_RDI_VC12,0.0013942513942513943
BIP_EXC LP_SLM_VC12,0.001716001716001716
RX_POWER_LOW_ALARM DYING_GASP,0.0023058773058773057
MPLS_TUNNEL_LOCV ETH_APS_LOST,0.0023595023595023596
TUNNEL_APS_DEGRADED ETH_APS_LOST,0.002627627627627628
ETH_LOS ETH_LINK_DOWN,0.0044508794508794506
OTU2_DEG ETH_LINK_DOWN,0.0018768768768768769
R_LOS ETH_LINK_DOWN,0.0014478764478764478
PTP_SOURCE_SWITCH ETH_LOS,0.001287001287001287
ETH_LOS S1_SYN_CHANGE,0.001018876018876019
ETH_LOS SSM_PKT_LOS,0.0013406263406263406
TIME_NO_TRACE_MODE ETH_LOS,0.0010725010725010724
ETH_T_FLOW_OVER_GEN ETH_R_FLOW_OVER_GEN,0.001716001716001716
ETH_T_FLOW_OVER_GEN ETH_R_FLOW_OVER_SRS,0.0010725010725010724
ETH_R_FLOW_OVER_WRN ETH_T_FLOW_OVER_WRN,0.0013406263406263406
分支光纤断或OLT检测不到ONT的预期的光信号(LOSi/LOBi) GEM信道丢失(LCDGi),0.0013406263406263406
GE交换板与业务单板GE链路故障告警 单板不可用告警,0.0010725010725010724
INACT LEVELLO,0.0016623766623766623
IP NS-VC链路故障 S1ap链路故障,0.012226512226512226
IP NS-VC链路故障 [衍生告警]IP NS-VC链路故障频次关联,0.007132132132132132
IP NSE全阻 IP NSVC不可用,0.0015015015015015015
IP NSE全阻 eNodeB断链告警,0.0016623766623766623
IP NSVC不可用 eNodeB断链告警,0.002145002145002145
IP NSVC不可用 偶联通路断,0.001287001287001287
VCG LOS告警 LFD(Loss Of Frame Delineation)告警,0.007775632775632775
VCG端口宿端丢失全部容量 LFD(Loss Of Frame Delineation)告警,0.007561132561132561
VCG端口宿端丢失部分容量 LFD(Loss Of Frame Delineation)告警,0.001287001287001287
VCG端口源端丢失全部容量 LFD(Loss Of Frame Delineation)告警,0.0036465036465036463
