rule,support
VCG LOS告警 误码率越限(LP-EXC),0.006166881166881167
VCG端口宿端丢失部分容量 VCG端口宿端丢失全部容量,0.0016623766623766623
VCG端口宿端丢失全部容量 VCG端口源端丢失全部容量,0.00487987987987988
VCG端口宿端丢失全部容量 VCG端口源端丢失部分容量,0.004719004719004719
VCG端口宿端丢失全部容量 不可用秒开始(UAS),0.006006006006006006
VCG端口宿端丢失全部容量 告警指示信号(LP-AIS),0.002842127842127842
VCG端口宿端丢失全部容量 增强型远端服务缺陷指示（ERDI-S）,0.005952380952380952
VCG端口宿端丢失全部容量 增强型远端连接缺陷指示,0.0012333762333762333
VCG端口宿端丢失全部容量 指针丢失(LP-LOP),0.005952380952380952
VCG端口宿端丢失全部容量 误码率越限(LP-EXC),0.006006006006006006
VCG端口宿端丢失部分容量 VCG端口源端丢失全部容量,0.001287001287001287
VCG端口宿端丢失部分容量 VCG端口源端丢失部分容量,0.0013406263406263406
VCG端口宿端丢失部分容量 不可用秒开始(UAS),0.001716001716001716
VCG端口宿端丢失部分容量 告警指示信号(LP-AIS),0.0010725010725010724
VCG端口宿端丢失部分容量 增强型远端服务缺陷指示（ERDI-S）,0.001716001716001716
VCG端口宿端丢失部分容量 指针丢失(LP-LOP),0.001716001716001716
VCG端口宿端丢失部分容量 误码率越限(LP-EXC),0.001716001716001716
VCG端口源端丢失部分容量 VCG端口源端丢失全部容量,0.003914628914628915
不可用秒开始(UAS) VCG端口源端丢失全部容量,0.004933504933504933
告警指示信号(LP-AIS) VCG端口源端丢失全部容量,0.0023058773058773057
增强型远端服务缺陷指示（ERDI-S） VCG端口源端丢失全部容量,0.004933504933504933
指针丢失(LP-LOP) VCG端口源端丢失全部容量,0.004933504933504933
误码率越限(LP-EXC) VCG端口源端丢失全部容量,0.004933504933504933
VCG端口源端丢失部分容量 不可用秒开始(UAS),0.004826254826254826
VCG端口源端丢失部分容量 告警指示信号(LP-AIS),0.0023058773058773057
VCG端口源端丢失部分容量 增强型远端服务缺陷指示（ERDI-S）,0.004826254826254826
VCG端口源端丢失部分容量 指针丢失(LP-LOP),0.004826254826254826
VCG端口源端丢失部分容量 误码率越限(LP-EXC),0.004826254826254826
X2接口故障告警 用户面承载链路故障告警,0.008151008151008152
